"","","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1",0.1616,1,0.0506,0.058,0.0233,0.0521,0.0477,0.0252,0.0389,0.0235,0.0193,0.0417,0.0384,0.0502,0.0112,0.0065,0.0042,-0.0109
"2",0.1842,0.0506,1,0.0344,0.0218,0.0436,0.0351,0.0274,0.0299,0.0156,0.0172,0.0265,0.039,0.0433,0.0034,-0.0015,0.0094,-3e-04
"3",0.1714,0.058,0.0344,1,0.0222,0.0402,0.0361,0.0138,0.0283,0.0177,0.0138,0.0371,0.0308,0.0444,0.0044,0.0029,0.0079,-7e-04
"4",0.1861,0.0233,0.0218,0.0222,1,0.0282,0.0231,0.0233,0.0188,0.0112,0.0165,0.0217,0.0268,0.0276,-0.0035,0.005,0.0152,-0.0043
"5",0.165,0.0521,0.0436,0.0402,0.0282,1,0.0363,0.0253,0.03,0.0205,0.0261,0.0382,0.0378,0.0475,0.0051,0.0093,0.0116,-0.001
"6",0.17,0.0477,0.0351,0.0361,0.0231,0.0363,1,0.022,0.0242,0.0169,0.0103,0.0288,0.0237,0.0387,0.0043,0.0089,0.0048,-0.0021
"7",0.227,0.0252,0.0274,0.0138,0.0233,0.0253,0.022,1,0.0195,0.0211,0.0395,0.0209,0.0332,0.0217,-0.0088,0.0058,0.0273,0.0128
"8",0.3017,0.0389,0.0299,0.0283,0.0188,0.03,0.0242,0.0195,1,0.0154,0.0248,0.0287,0.0217,0.0313,0.0028,0.0048,0.0147,-0.0043
"9",0.2184,0.0235,0.0156,0.0177,0.0112,0.0205,0.0169,0.0211,0.0154,1,0.0179,0.0148,0.0176,0.0207,0.0021,0.006,0.0091,0.0017
"10",0.2647,0.0193,0.0172,0.0138,0.0165,0.0261,0.0103,0.0395,0.0248,0.0179,1,0.026,0.0297,0.019,-0.0138,0.0018,0.0313,0.0054
"11",0.1844,0.0417,0.0265,0.0371,0.0217,0.0382,0.0288,0.0209,0.0287,0.0148,0.026,1,0.0277,0.0352,0.0038,0.0035,0.0084,-0.0033
"12",0.239,0.0384,0.039,0.0308,0.0268,0.0378,0.0237,0.0332,0.0217,0.0176,0.0297,0.0277,1,0.0327,-0.001,0.0066,0.0184,-0.0014
"13",0.1791,0.0502,0.0433,0.0444,0.0276,0.0475,0.0387,0.0217,0.0313,0.0207,0.019,0.0352,0.0327,1,0.0114,0.0124,0.0041,-0.008
"14",0.2078,0.0112,0.0034,0.0044,-0.0035,0.0051,0.0043,-0.0088,0.0028,0.0021,-0.0138,0.0038,-0.001,0.0114,1,-0.0021,-0.0114,-0.0029
"15",0.2055,0.0065,-0.0015,0.0029,0.005,0.0093,0.0089,0.0058,0.0048,0.006,0.0018,0.0035,0.0066,0.0124,-0.0021,1,-8e-04,1e-04
"16",0.211,0.0042,0.0094,0.0079,0.0152,0.0116,0.0048,0.0273,0.0147,0.0091,0.0313,0.0084,0.0184,0.0041,-0.0114,-8e-04,1,0.0103
"17",0.2053,-0.0109,-3e-04,-7e-04,-0.0043,-0.001,-0.0021,0.0128,-0.0043,0.0017,0.0054,-0.0033,-0.0014,-0.008,-0.0029,1e-04,0.0103,1
