Year,Shore.NZ.L,Shore.NZ.H,Shore.EA,Am.Bay.low,Am.Bay.high,Am.OffNZ,Am.OffNZ.SE,Am.OffEA,Am.OffEA.SE,French,Soviet.EA,Soviet.NZ
1827,0,0,64,0,0,0,0,0,0,0,0,0
1828,0,0,119,0,0,0,0,0,0,0,0,0
1829,0,24,140,0,0,0,0,0,0,0,0,0
1830,28,120,336,0,0,0,0,0,0,0,0,0
1831,30,239,396,0,0,0,0,0,0,0,0,0
1832,23,140,295,0,0,0,0,0,0,0,0,0
1833,118,357,440,0,0,0,0,0,0,0,0,0
1834,202,451,654,23,23,0,0,0,0,0,0,0
1835,369,717,858,23,23,0,0,0,0,0,0,0
1836,209,468,825,420,444,0,0,0,0,28.05,0,0
1837,270,424,1358,280,373,0,0,0,0,57.42,0,0
1838,470,765,1282,514,724,2039,1249,70,70,355.6,0,0
1839,518,548,1663,724,934,3901,1153,0,0,519.65,0,0
1840,328,385,821,373,1097,1242,1242,0,0,850.18,0,0
1841,223,261,521,47,163,1448,737,618,571,679.02,0,0
1842,274,310,492,0,0,520,200,80,80,741.28,0,0
1843,382,382,362,0,0,257,119,77,47,382.76,0,0
1844,361,361,390,0,0,552,250,38,38,257.04,0,0
1845,253,253,354,0,0,539,199,46,46,0,0,0
1846,205,205,246,0,0,310,248,0,0,0,0,0
1847,175,175,172,0,0,0,0,36,36,0,0,0
1848,106,106,150,0,0,414,414,0,0,0,0,0
1849,37,37,59,0,0,0,0,0,0,0,0,0
1850,32,32,123,0,0,95,95,0,0,0,0,0
1851,15,15,162,0,0,0,0,0,0,0,0,0
1852,38,38,37,0,0,0,0,0,0,0,0,0
1853,48,65,86,0,0,0,0,83,83,0,0,0
1854,14,14,27,0,0,163,0,0,0,0,0,0
1855,29,29,10,0,0,235,101,0,0,0,0,0
1856,44,44,23,0,0,0,0,0,0,0,0,0
1857,28,28,11,0,0,1238,83,0,0,0,0,0
1858,13,13,5,0,0,285,94,0,0,0,0,0
1859,39,39,52,0,0,82,0,82,82,0,0,0
1860,13,13,42,0,0,0,0,0,0,0,0,0
1861,7,16,24,0,0,0,0,0,0,0,0,0
1862,12,14,57,0,0,0,0,0,0,0,0,0
1863,14,42,11,0,0,0,0,0,0,0,0,0
1864,10,24,22,0,0,0,0,0,0,0,0,0
