nvuelo	Year	Mes	Fecha	T	C	Juliano
1	1999	5	19-may-99	5	0	139
2	1999	7	2-jul-99	117	18	183
3	1999	8	17-ago-99	460	79	229
4	1999	9	29-sept-99	549	166	272
5	1999	11	10-nov-99	172	59	314
6	1999	12	15-dic-99	10	5	349
9	2000	5	29-may-00	43	2	149
10	2000	7	13-jul-00	323	59	194
11	2000	9	28-sept-00	558	143	271
12	2000	11	15-nov-00	296	88	319
14	2004	10	21-oct-04	195	67	294
15	2004	12	2-dic-04	66	23	336
19	2005	6	8-jun-05	84	1	159
20	2005	7	19-jul-05	591	80	200
21	2005	9	8-sept-05	733	231	251
22	2005	10	25-oct-05	217	57	298
23	2005	12	17-dic-05	3	0	351
25	2006	3	28-mar-06	1	0	87
26	2006	5	10-may-06	4	0	130
27	2006	7	31-jul-06	657	164	212
28	2006	9	7-sept-06	786	205	250
29	2006	10	23-oct-06	484	140	296
32	2007	5	23-may-07	57	7	143
33	2007	6	26-jun-07	393	50	177
34	2007	8	22-ago-07	1006	222	234
36	2007	10	2-oct-07	957	246	275
37	2007	11	24-nov-07	108	24	328
39	2008	4	30-abr-08	16	4	120
40	2008	7	2-jul-08	606	118	183
42	2008	9	8-sept-08	621	153	251
43	2008	9	24-sept-08	502	137	267
44	2008	11	11-nov-08	173	48	315
46	2009	5	6-may-09	5	1	126
47	2009	6	25-jun-09	335	56	176
48	2009	9	10-sept-09	705	213	253
49	2010	4	27-abr-10	6	0	117
50	2010	10	1-oct-10	662	248	274
51	2011	5	13-may-11	14	1	133
52	2011	8	16-ago-11	1262	362	228
53	2011	10	5-oct-11	284	93	278
54	2012	5	24-may-12	58	4	144
55	2012	8	3-ago-12	802	255	215
56	2013	5	18-may-13	50	6	138
57	2013	7	26-jul-13	1143	330	207
58	2013	9	6-sept-13	909	378	249
59	2013	11	13-nov-13	161	71	317
60	2014	4	23-abr-14	1	0	113
61	2014	6	19-jun-14	253	36	170
62	2014	10	8-oct-14	468	210	281
63	2015	4	23-abr-15	3	0	113
64	2015	6	8-jun-15	112	6	159
65	2015	9	14-sept-15	557	126	257
66	2015	10	2-oct-15	278	85	275
67	2015	11	18-nov-15	102	35	322
68	2016	8	9-ago-16	725	191	222
69	2016	9	21-sept-16	439	156	265
70	2016	10	27-oct-16	112	42	301
71	2017	7	7-jul-17	542	143	188
72	2017	9	4-sept-17	838	288	247
73	2017	10	21-oct-17	246	102	294
74	2018	5	23-may-18	39	10	143
75	2018	8	1-ago-18	1079	387	213
76	2018	8	31-ago-18	1605	710	243
77	2019	7	8-jul-19	301	63	189
78	2019	8	25-ago-19	1077	363	237
79	2019	10	2-oct-19	362	116	275
80	2021	8	4-ago-21	1006	253	216
81	2021	9	6-sept-21	1139	448	249
82	2021	10	29-oct-21	194	83	302
83	2022	7	13-jul-22	1029	133	194
84	2022	9	9-sept-22	1114	143	252
85	2022	11	24-nov-22	20	3	328
86	2023	7	13-jul-23	1237	320	194
87	2023	10	11-oct-23	592	213	284
88	2024	8	29-ago-24	1098	549	242
