"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.013","0.001","0.008","0.019","0.03","18,964"
"2","$K$","61,785","59,440","39,394","50,557","70,446","97,403","18,964"
"3","$z$","4.247","3.454","1.075","1.946","6.021","10.511","18,964"
"4","$Pmsy$","0.649","0.649","0.507","0.574","0.723","0.793","18,964"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,964"
"6","$N_{min}$"," 1,850"," 1,656","   443"," 1,021"," 2,617"," 3,885","18,964"
"7","$N_{2019}$"," 4,739"," 4,712"," 3,976"," 4,440"," 5,013"," 5,648","18,964"
"8","$N_{2021}$"," 4,901"," 4,863"," 4,033"," 4,558"," 5,211"," 5,953","18,964"
"9","$N_{2030}$"," 5,616"," 5,517"," 4,153"," 4,980"," 6,156"," 7,613","18,964"
"10","Max depletion","0.029","0.027","0.01","0.019","0.037","0.059","18,964"
"11","Depletion in 2019","0.082","0.079","0.045","0.065","0.096","0.131","18,964"
"12","Depletion in 2021","0.085","0.082","0.045","0.067","0.099","0.139","18,964"
"13","Depletion in 2030","0.098","0.093","0.047","0.073","0.117","0.176","18,964"
"14","$q_{flt1}$","0.375","0.375","0.33","0.359","0.391","0.424","18,964"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.395","0.368","0.187","0.288","0.479","0.729",NA
