"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.063","0.067","0.003","0.035","0.091","0.108","19,544"
"2","$K$","53,448","48,632","26,095","36,126","66,069","104,615","19,544"
"3","$z$","2.569","2.358","0.079","1.048","3.982","5.899","19,542"
"4","$Pmsy$","0.722","0.727","0.628","0.68","0.766","0.797","19,544"
"5","$P_{50}$","0.066","0.056","0.003","0.026","0.098","0.178","19,544"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,544"
"7","$N_{min}$"," 3,480"," 3,553"," 2,266"," 3,130"," 3,890","  4,367","19,544"
"8","$N_{2019}$"," 4,438"," 4,416"," 3,755"," 4,177"," 4,677","  5,246","19,544"
"9","$N_{2021}$"," 4,509"," 4,478"," 3,757"," 4,217"," 4,769","  5,416","19,544"
"10","$N_{2030}$"," 4,718"," 4,630"," 3,635"," 4,246"," 5,091","  6,328","19,544"
"11","Max depletion","0.073","0.071","0.035","0.056","0.088","0.123","19,544"
"12","Depletion in 2019","0.097","0.09","0.04","0.065","0.125","0.184","19,544"
"13","Depletion in 2021","0.099","0.091","0.041","0.066","0.127","0.191","19,544"
"14","Depletion in 2030","0.105","0.094","0.04","0.066","0.135","0.225","19,544"
"15","$q_{flt1}$","0.379","0.378","0.334","0.362","0.395","0.429","19,544"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.401","0.375","0.191","0.291","0.485","0.747",NA
