"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.038","0.029","0.003","0.015","0.055","0.104","18,963"
"2","$K$","54,770","51,866","28,844","41,936","64,473","96,830","19,788"
"3","$z$","3.456","2.78","0.261","1.429","4.912","9.857","19,775"
"4","$Pmsy$","0.667","0.677","0.509","0.597","0.741","0.794","19,088"
"5","$sigma$","0.019","0.02","0.009","0.015","0.023","0.025","18,963"
"6","$N_{min}$"," 2,593"," 2,641","   678"," 1,837"," 3,408"," 4,218","19,788"
"7","Max depletion","0.05","0.048","0.014","0.036","0.062","0.104","19,788"
"8","$q_{flt1}$","0.376","0.375","0.33","0.359","0.392","0.426","19,788"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,644"," 4,617"," 3,858"," 4,341"," 4,923"," 5,569","19,788"
"12","$N_{2021}$"," 4,783"," 4,749"," 3,899"," 4,426"," 5,098"," 5,868","19,788"
"13","$N_{2024}$"," 4,989"," 4,929"," 3,926"," 4,536"," 5,377"," 6,382","19,788"
"14","$N_{2030}$"," 5,380"," 5,239"," 3,868"," 4,659"," 5,949"," 7,647","19,788"
"15","Depletion in 2019","0.094","0.09","0.044","0.07","0.114","0.169","19,788"
"16","Depletion in 2021","0.097","0.092","0.045","0.071","0.118","0.178","19,788"
"17","Depletion in 2024","0.102","0.096","0.045","0.073","0.124","0.191","19,788"
"18","Depletion in 2030","0.111","0.102","0.045","0.076","0.136","0.223","19,788"
"19","$p(q)_{flt1}$","0.395","0.37","0.188","0.288","0.479","0.731",NA
