"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.017","0.016","0.002","0.01","0.023","0.035","18,586"
"2","$K$","57,000","54,813","32,789","45,998","65,656","92,511","18,734"
"3","$z$","4.242","3.456","1.068","1.91","6.055","10.486","18,650"
"4","$Pmsy$","0.648","0.649","0.506","0.572","0.724","0.792","18,650"
"5","$sigma$","0.019","0.02","0.009","0.015","0.023","0.025","18,650"
"6","$N_{min}$"," 1,576"," 1,301","   320","   749"," 2,274"," 3,773","18,734"
"7","Max depletion","0.027","0.023","0.008","0.015","0.036","0.061","18,734"
"8","$q_{flt1}$","0.392","0.373","0.215","0.355","0.392","0.704","18,735"
"9","$eta_{q_{flt1}}$","-0.001","0","-0.077","0","0","0.065"," 2,047"
"10","$sigma_q$","0.044","0","0","0","0","0.523"," 1,914"
"11","$N_{1999}$"," 3,585"," 3,571"," 2,867"," 3,311"," 3,845"," 4,374","18,734"
"12","$N_{2019}$"," 4,816"," 4,790"," 4,003"," 4,497"," 5,108"," 5,783","18,734"
"13","$N_{2021}$"," 5,004"," 4,966"," 4,072"," 4,632"," 5,341"," 6,120","18,734"
"14","$N_{2024}$"," 5,299"," 5,237"," 4,155"," 4,821"," 5,728"," 6,749","18,734"
"15","$N_{2030}$"," 5,882"," 5,759"," 4,238"," 5,135"," 6,515"," 8,169","18,734"
"16","Depletion in 1999","0.067","0.065","0.04","0.055","0.076","0.107","18,734"
"17","Depletion in 2019","0.091","0.088","0.048","0.071","0.108","0.157","18,734"
"18","Depletion in 2021","0.095","0.091","0.048","0.073","0.113","0.166","18,734"
"19","Depletion in 2024","0.101","0.096","0.049","0.076","0.121","0.181","18,734"
"20","Depletion in 2030","0.113","0.106","0.051","0.081","0.137","0.216","18,734"
"21","$p(q)_{flt1}$","0.411","0.366","0.159","0.282","0.485","0.861",NA
