"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.035","0.025","0.001","0.012","0.053","0.104","19,744"
"2","$K$","59,663","56,900","30,569","45,901","70,435","104,266","19,997"
"3","$z$","3.241","2.554","0.164","1.292","4.619","9.771","19,992"
"4","$Pmsy$","0.669","0.678","0.509","0.603","0.742","0.794","19,820"
"5","$sigma$","0.019","0.02","0.009","0.015","0.023","0.025","19,744"
"6","$N_{min}$"," 2,922"," 3,129","   852"," 2,283"," 3,651","  4,244","19,997"
"7","$N_{2019}$"," 4,461"," 4,427"," 3,695"," 4,154"," 4,735","  5,406","19,997"
"8","$N_{2021}$"," 4,532"," 4,483"," 3,660"," 4,179"," 4,840","  5,656","19,997"
"9","$N_{2030}$"," 4,898"," 4,728"," 3,517"," 4,237"," 5,381","  7,158","19,997"
"10","Max depletion","0.052","0.049","0.017","0.039","0.063","0.105","19,997"
"11","Depletion in 2019","0.083","0.078","0.04","0.061","0.1","0.154","19,997"
"12","Depletion in 2021","0.085","0.079","0.04","0.062","0.102","0.16","19,997"
"13","Depletion in 2030","0.093","0.084","0.039","0.063","0.113","0.194","19,997"
"14","$q_{flt1}$","0.362","0.361","0.32","0.346","0.377","0.409","19,997"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.359","0.186","0.281","0.462","0.668",NA
