"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.024","0.023","0.013","0.02","0.028","0.036","18,922"
"2","$K$","51,038","49,910","35,021","43,401","57,333","73,242","18,922"
"3","$z$","4.178","3.39","1.058","1.863","6.015","10.422","18,921"
"4","$Pmsy$","0.646","0.646","0.506","0.569","0.723","0.792","18,922"
"5","$sigma$","0.019","0.02","0.009","0.016","0.023","0.025","18,922"
"6","$N_{min}$","   815","   740","   284","   540"," 1,006"," 1,790","18,922"
"7","Max depletion","0.016","0.015","0.007","0.011","0.019","0.03","18,922"
"8","$q_{flt1}$","0.37","0.369","0.325","0.353","0.385","0.419","18,922"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 5,021"," 5,006"," 4,225"," 4,721"," 5,302"," 5,919","18,922"
"12","$N_{2021}$"," 5,276"," 5,255"," 4,383"," 4,934"," 5,588"," 6,307","18,922"
"13","$N_{2024}$"," 5,686"," 5,655"," 4,608"," 5,266"," 6,069"," 6,973","18,922"
"14","$N_{2030}$"," 6,557"," 6,485"," 5,037"," 5,923"," 7,108"," 8,513","18,922"
"15","Depletion in 2019","0.102","0.1","0.064","0.086","0.117","0.153","18,922"
"16","Depletion in 2021","0.108","0.105","0.066","0.09","0.124","0.163","18,922"
"17","Depletion in 2024","0.116","0.113","0.07","0.096","0.134","0.18","18,922"
"18","Depletion in 2030","0.135","0.13","0.077","0.108","0.156","0.218","18,922"
"19","$p(q)_{flt1}$","0.387","0.36","0.179","0.283","0.469","0.717",NA
