"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.024","0.023","0.013","0.019","0.028","0.037","19,241"
"2","$K$","51,179","49,939","34,817","43,546","57,631","74,120","19,241"
"3","$z$","4.15","3.324","1.062","1.835","5.941","10.446","19,241"
"4","$Pmsy$","0.645","0.644","0.506","0.567","0.722","0.792","19,241"
"5","$sigma^2$","0","0","0","0","0.001","0.001","19,241"
"6","$N_{min}$","   821","   744","   269","   535"," 1,019"," 1,820","19,241"
"7","$N_{2019}$"," 4,990"," 4,970"," 4,151"," 4,676"," 5,284"," 5,924","19,241"
"8","$N_{2021}$"," 5,232"," 5,204"," 4,270"," 4,866"," 5,570"," 6,335","19,241"
"9","$N_{2030}$"," 6,487"," 6,403"," 4,854"," 5,801"," 7,071"," 8,665","19,241"
"10","Max depletion","0.016","0.015","0.007","0.011","0.019","0.031","19,241"
"11","Depletion in 2019","0.102","0.099","0.062","0.084","0.117","0.156","19,241"
"12","Depletion in 2021","0.107","0.104","0.064","0.088","0.123","0.166","19,241"
"13","Depletion in 2030","0.133","0.127","0.074","0.105","0.155","0.224","19,241"
