"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.013","0.001","0.008","0.019","0.029","18,963"
"2","$K$","61,739","59,491","39,241","50,630","70,095","96,560","18,963"
"3","$z$","4.286","3.507","1.074","1.941","6.14","10.475","18,963"
"4","$Pmsy$","0.65","0.651","0.507","0.574","0.726","0.792","18,963"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,963"
"6","$N_{min}$"," 1,848"," 1,648","   457"," 1,034"," 2,602"," 3,856","18,963"
"7","$N_{2019}$"," 4,737"," 4,715"," 3,966"," 4,435"," 5,015"," 5,649","18,963"
"8","$N_{2021}$"," 4,895"," 4,864"," 4,026"," 4,548"," 5,206"," 5,940","18,963"
"9","$N_{2030}$"," 5,603"," 5,503"," 4,149"," 4,970"," 6,136"," 7,612","18,963"
"10","Max depletion","0.029","0.027","0.01","0.019","0.037","0.059","18,963"
"11","Depletion in 2019","0.082","0.079","0.045","0.065","0.095","0.132","18,963"
"12","Depletion in 2021","0.085","0.082","0.046","0.067","0.099","0.139","18,963"
"13","Depletion in 2030","0.098","0.093","0.047","0.074","0.116","0.177","18,963"
"14","$q_{flt1}$","0.376","0.375","0.33","0.359","0.391","0.426","18,963"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0.462","0.449","0.274","0.379","0.531","0.728","18,963"
"17","$p(q)_{flt1}$","0.395","0.369","0.187","0.288","0.479","0.729",NA
