"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.018","0.016","0.001","0.008","0.026","0.048","18,583"
"2","$K$","69,755","59,441","30,688","46,219","78,596","174,525","18,583"
"3","$z$","4.296","3.473","1.075","1.935","6.177","10.516","18,583"
"4","$Pmsy$","0.65","0.65","0.507","0.573","0.727","0.793","18,583"
"5","$sigma^2$","0.004","0.004","0.001","0.003","0.006","0.006","18,583"
"6","$N_{min}$"," 1,281"," 1,054","   170","   531"," 1,856","  3,351","18,583"
"7","$N_{2019}$"," 4,275"," 4,241"," 3,160"," 3,845"," 4,665","  5,606","18,583"
"8","$N_{2021}$"," 4,454"," 4,397"," 3,084"," 3,910"," 4,926","  6,190","18,583"
"9","$N_{2030}$"," 5,382"," 5,096"," 2,874"," 4,233"," 6,208","  9,545","18,583"
"10","Max depletion","0.019","0.016","0.004","0.009","0.026","0.054","18,583"
"11","Depletion in 2019","0.075","0.072","0.022","0.052","0.094","0.152","18,583"
"12","Depletion in 2021","0.079","0.074","0.022","0.053","0.099","0.166","18,583"
"13","Depletion in 2030","0.098","0.085","0.022","0.057","0.122","0.251","18,583"
